source_document,comment_id,original_comment,original_anchor,change,new_location,evidence,status
MMAN_Revised_Manuscript-2.docx,0,Empirical statements have been removed from the abstract because the final sample and original predictions are unavailable. Replace the evidence-status sentence with verified results only after the dataset is frozen and experiments are complete.,"This study examines whether annual financial trends, quarterly changes and management disclosures provide complementary information for predicting new episodes of corporate financial distress. The proposed multimodal attention network combines a Transformer, an LSTM and a Chinese financial language encoder. Three directional attention paths use financial summaries to query text and quarterly sequences; a sample-dependent gate aggregates the resulting representations. The analysis establishes a token-dependent attention cost, a conditional stability bound for convex aggregation, and the distinction between focal-loss reweighting and gradient allocation. The empirical design uses fixed prediction dates, a subsequent 12-month outcome window, chronological evaluation and matched fusion ablations. Re-examination of the available materials identifies unresolved sample provenance and inconsistencies in the reported metrics and figures. Consequently, the earlier performance estimates do not establish predictive superiority, semantic interpretability or earlier textual warning. The contribution at this stage is a corrected, testable model and evaluation design. Its potential use in corporate risk monitoring depends on completing the point-in-time dataset and obtaining reproducible out-of-time evidence.","Abstract replaced with final 969-record, five-model results.",Abstract; Tables 1 and 4,Final manifest; 13 saved fits; metric_verification.json and logistic_verification.json,resolved
MMAN_Revised_Manuscript-2.docx,1,"The 798 firms and 5,250 candidate firm-years describe the collection cohort, not the final sample. Do not substitute these counts for the earlier 5,142 analytical observations. Historical industry, all baseline distress components, 12-month outcomes and data completeness must pass before freezing.","Public disclosures, reports and exchange records underpin the reconstruction. Its 798 firms and 5,250 candidate firm-years are collection counts, not a final sample. Historical industry, baseline distress, future labels and input completeness remain unresolved. The earlier analytical total of 5,142 is not verified. Commercial database provenance has not been demonstrated for the reconstructed data, and no final sample size or class balance is asserted.","Collection and analytical counts separated: 3335 candidates, 969 included, 2366 excluded/pending. Annual ST-only protocol replaces retired combined endpoint.",Methodology / Sample and prediction task; Table 1,cohort_decisions.csv; admission_checks.csv; candidate_manifest.json,resolved
MMAN_Revised_Manuscript-2.docx,2,"README.md, data/derived/filing_summary.json and the frozen manifest must be updated together from a single certified sample. No final count or dataset hash is fabricated in this revision.","After all eligibility checks, the frozen manifest will record version, ordered identifiers, split/outcome counts, origin and follow-up ranges, filters, source versions and content hashes. README.md, data/derived/filing_summary.json and the manifest must derive their counts from the same certified sample. A collection inventory cannot certify this freeze. Figure 1 presents the protocol without unverified split counts.","Current README, filing_summary and v2 manifest generated from the same locked dataset; old v1 evidence remains historical.",Repository README; evidence/filing_summary.json,Package manifest and verify.py; final remote commit recorded in handoff/PROGRESS.md,resolved at package verification
MMAN_Revised_Manuscript-2.docx,3,Pin the exact model and tokenizer revisions before running. Historical pretraining and fine-tuning corpus cutoffs remain unknown. The referenced Chinese model card is not interchangeable with Araci (2019) or Yang et al. (2020).,"The implementation uses yiyanghkust/finbert-tone-chinese. Its model card describes Chinese BERT fine-tuned on approximately 8,000 analyst-report sentiment sentences (yiyanghkust, n.d.). Each run must pin the resolved checkpoint and tokenizer revisions. Sentiment provenance does not establish distress accuracy or historical availability; the English FinBERT papers identify different resources.",Pretrained Chinese FinBERT removed from actual design. Training-fitted character TF-IDF/SVD described and shared.,Methodology / Financial and textual inputs,src/distress/annual_train.py; checkpoint_replay.json,resolved
MMAN_Revised_Manuscript-2.docx,4,Architecture correction: one-key softmax is always one. The current reconstructed model uses text and quarterly sequence keys. Older results cannot be attributed to the revised architecture without rerunning.,A denotes multihead attention; HT and HS are text and quarterly sequences. Each path uses one query and multiple keys. A single pooled key instead has softmax weight one and cannot support query-dependent selection. Sequence keys correct that degeneracy. Economic labels for routes remain interpretive hypotheses.,"Annual financial query attends over multiple report chunks, with matched concatenation capacity. New results come from that implementation.",Methodology / Traditional benchmark and neural comparisons; Figure 2,annual_train.py; results/results.json; saved prediction checks,resolved
MMAN_Revised_Manuscript-2.docx,5,"The mathematical bound holds for fixed vectors. It is not a proof of end-to-end robustness, causal attribution or interpretability of attention/gate weights.","Proof. Simplex weights define a convex combination; the triangle inequality gives both bounds. Changing an observation changes features as well as weights, so end-to-end stability needs additional bounds. Correlated vectors may yield the same output under different weights. Gate coefficients are therefore neither identified causal contributions nor automatically faithful explanations (Figure 3).",Fixed-vector proposition and unsupported end-to-end/causal or gate interpretation removed.,Literature Review; Methodology; Discussion,Actual annual architecture and restrained claims,resolved by removal
MMAN_Revised_Manuscript-2.docx,6,"Recompute the matrix from a common verified panel or disclose pairwise observation counts and missingness handling. Do not repair the image by manually changing correlations. Minimum-eigenvalue diagnosis is an internal consistency result, not a new financial finding.","The numerical matrix associated with Figure 4 has minimum eigenvalue approximately −0.4923. A common-observation Pearson matrix must be positive semidefinite, and three-decimal rounding cannot explain this discrepancy. Pairwise deletion can produce indefiniteness, but its use is undocumented. The heatmap cannot presently establish indicator relationships.",Correlation matrix recomputed on identical complete 503 training records; raw data and cell matrix supplied.,Results / Sample and descriptive checks; Figure 3,figure_3_data.csv; common-panel correlation check,resolved
MMAN_Revised_Manuscript-2.docx,7,"The original plotting source and epoch logs are absent. Do not redraw a plausible loss curve from the printed description. Restore actual selected epoch, stopping epoch and all plotted loss values from one log.","The earlier text gives a training minimum of 0.124 at epoch 58, but Figure 5 continues below it. A best validation epoch of 56 also needs reconciliation with 80 displayed epochs under patience ten. Original logs must establish the improvement criterion, selected checkpoint and stopping epoch; the image does not prove absence of overfitting.",Only actual training BCE and validation AP plotted; no reconstructed validation loss.,Results / Alert capacity and optimization records; Figure 5; Table S1,results/training_log.json and results/results.json,resolved
MMAN_Revised_Manuscript-2.docx,8,"At N=833, no integer number of correct predictions rounds to 0.9243. The same type of denominator inconsistency affects the other reported model accuracies. Determine whether the sample count, aggregation rule or reported metrics are wrong from raw predictions.","Table 3 preserves earlier metrics. With the earlier test count N = 833, no integer number of correct predictions rounds to accuracy 0.9243. A consistent confusion matrix cannot be recovered. Undocumented averaging across runs or folds must not be assumed.",Unsupported old accuracy values removed; 216-row test confusion matrices match saved scores.,Table 4; Supplementary Table S1,Independent 26 validation/test metric-group recalculations,resolved
MMAN_Revised_Manuscript-2.docx,9,"The minimal protocol specifies 21 planned model–seed combinations, not completed results. Attention and gating contrasts are conditional, not a full factorial design. Same information does not imply equal capacity. Report conditional bootstrap intervals separately from variability over three seeds; do not claim omnibus significance.","Seven neural variants across seeds 42–44 define 21 planned, uncompleted runs. Save identifiers, labels, probabilities, thresholds, splits, dataset/checkpoint hashes and epoch losses. Report per-seed scores, paired differences, means and standard deviations. For each fitted pair, 2,000 paired company-cluster bootstrap replicates give conditional 95% percentile intervals using identical sampled firms and multiplicities. Three seeds provide limited evidence of stability. These intervals do not replace seed variability or establish omnibus significance.",Actual 12 neural fits with seeds 17/42/2026 plus one deterministic LR; matched fusion capacity; seed SD and paired intervals separated.,Methodology; Tables 4–5 and S1,Saved 13 model fits; bootstrap 2000; raw predictions,resolved
